"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"141","4","2217","Ian","2015","28/10/2018","52.53453732241747","13.402556926822387","4","Berlin-Mitte Value! Quiet courtyard/very central","Brunnenstr. Süd","Mitte","118","60","3.76","Entire home/apt"
"0","1","2986","Michael","2695","01/10/2018","52.54851279221664","13.404552826587466","2","Prenzlauer Berg close to Mauerpark","Prenzlauer Berg Nordwest","Pankow","6","17","1.42","Private room"
"297","1","4108","Jana","3309","16/08/2018","52.498854933130026","13.34906453348717","5","BerlinSpot Schöneberg near KaDeWe","Schöneberg-Nord","Tempelhof - Schöneberg","25","26","0.39","Private room"
"26","1","17391","Bright","7071","04/11/2018","52.5431572633131","13.415091104515707","2","BrightRoom with sunny greenview!","Helmholtzplatz","Pankow","197","42","1.75","Private room"
"42","1","67590","Wolfram","17409","31/10/2018","52.52907092467378","13.412843393984936","3","Downtown Above The Roofs In Berlin","Prenzlauer Berg Südwest","Pankow","279","45","2.83","Private room"
"232","1","68997","Matthias","17904","30/10/2018","52.495476326623894","13.421821277536653","5","Beautiful Kreuzberg studio/WiFi (reg. pend.)","Reuterstraße","Neukölln","223","49","2.1","Entire home/apt"
"275","1","94918","Tanja","23834","30/06/2018","52.489714426323665","13.379747575408963","60","Apartment in the heart of Berlin","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","96","65","0.94","Entire home/apt"
"341","10","84157","Emanuela","28711","13/08/2013","52.48610614913479","13.43481698170685","2","Silent Studio-apt in Kreuzkölln","Reuterstraße","Neukölln","1","60","0.02","Entire home/apt"
"361","1","135046","Thomas","31440","28/10/2018","52.5430892935274","13.42245309399176","1","Nice Room in Prenzlauerberg,","Helmholtzplatz","Pankow","28","44","4.94","Private room"
"343","1","143180","Claudio&Irina","33043","04/11/2018","52.521417975814856","13.357082298389068","3","Central Bright Bellevue Free Parking WIFI 4G","Moabit Ost","Mitte","144","62","1.44","Entire home/apt"
"89","1","153252","Thorsten","35642","16/09/2010","52.54936125502965","13.418227669657085","60","Cozy 2 Room Apartment in trendy Prenzlauer Berg","Prenzlauer Berg Nord","Pankow","1","55","0.01","Entire home/apt"
