"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"220","1","3718","Britta","3176","20/03/2017","52.534996191586714","13.417578665333295","62","Fabulous Flat in great Location","Prenzlauer Berg Südwest","Pankow","143","90","1.25","Entire home/apt"
"137","1","33852","Philipp","9991","23/07/2018","52.533030768026826","13.416046823956403","6","Geourgeous flat - outstanding views","Prenzlauer Berg Südwest","Pankow","6","180","0.15","Entire home/apt"
"129","3","55531","Chris + Oliver","14325","01/11/2018","52.547846407992154","13.405562243722455","90","Apartment in Prenzlauer Berg","Prenzlauer Berg Nordwest","Pankow","23","70","0.23","Entire home/apt"
"365","1","59666","Melanie","16401","","52.51051399601544","13.457850238106195","30","APARTMENT TO RENT","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","0","120","","Private room"
"159","2","64696","Rene","16644","14/12/2017","52.50479227385915","13.435101853886051","60","In the Heart of Berlin - Kreuzberg","nördliche Luisenstadt","Friedrichshain-Kreuzberg","48","90","0.47","Entire home/apt"
"166","1","71331","Marc","20858","20/10/2018","52.53695243192395","13.407615032621537","3","Designer Loft in Berlin Mitte","Prenzlauer Berg Südwest","Pankow","56","129","0.75","Entire home/apt"
"129","2","64696","Rene","21869","05/06/2016","52.50273333406941","13.434619857852763","60","Studio in the Heart of Kreuzberg","nördliche Luisenstadt","Friedrichshain-Kreuzberg","60","70","0.61","Entire home/apt"
"257","2","86068","Kiki","22415","01/10/2018","52.494850619865915","13.428500598140369","3","Stylishly furnished 3 room flat","südliche Luisenstadt","Friedrichshain-Kreuzberg","61","98","0.59","Entire home/apt"
"228","1","87357","Ramfis","22677","05/11/2018","52.53434836322021","13.405576517191426","3","Prenzel garden with leafy terrace","Brunnenstr. Süd","Mitte","223","160","2.27","Entire home/apt"
"3","2","99662","Dominik","24569","25/08/2018","52.53079085230837","13.41808443901994","3","Sunny & Wheelchair accessible","Prenzlauer Berg Südwest","Pankow","18","90","0.18","Entire home/apt"
"15","2","99662","Dominik","25653","14/08/2016","52.530258736282434","13.419466962263806","4","Sunny & stylish 150 sqm apartment","Prenzlauer Berg Süd","Pankow","5","90","0.05","Entire home/apt"
"336","1","112675","Terri","26543","05/11/2018","52.54406239119687","13.421376521988277","3","Helmholtzplatz Bright&Spacious Apt.","Helmholtzplatz","Pankow","163","197","1.63","Entire home/apt"
"191","3","55531","Chris + Oliver","28156","29/04/2017","52.54671936814942","13.405117021304424","90","Beautiful apartment in Prenzlauer Berg","Prenzlauer Berg Nordwest","Pankow","28","70","0.29","Entire home/apt"
"55","1","121580","Elena","28268","02/08/2017","52.51338523184102","13.469947507779649","5","Cozy Berlin Friedrichshain for1/6 p","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","30","90","0.33","Entire home/apt"
"221","3","54283","Marine","29279","31/07/2018","52.54178764990126","13.42388315889975","60","Quiet 2 rooms next Helmholtzplatz","Helmholtzplatz","Pankow","69","130","0.7","Entire home/apt"
"296","4","485838","Michele","30295","31/10/2018","52.54596726018988","13.422358872353616","4","PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG","Helmholtzplatz","Pankow","240","100","2.42","Entire home/apt"
"221","10","163384","Alan & Kasia","38074","21/07/2018","52.53680114276391","13.42546637252866","84","3 months min stay in the heart of Prenzlauer Berg!","Prenzlauer Berg Süd","Pankow","102","80","1.03","Entire home/apt"
